,vanilla,temp_scale,mc5,ua+mc-5
bert_acc,86.43,81.39,86.3,86.45
distilbert_acc,84.47,84.47,84.48,85.13
bert_ece,5.0,7.8,4.04,4.19
distilbert_ece,4.61,4.63,4.08,4.79
